n	source_class	target_class	rule
7	5906.i4a-29c55ed5fbf6.txt	5906.i4a-c1080e26f60c.txt	9729dc5f53f8
7	5906.i4a-29c55ed5fbf6.txt	5906.lswap-6dc582bac458.txt	ab88abce72ba
7	5906.i4a-29c55ed5fbf6.txt	5906.lswap-cf8339eb5ca7.txt	32eb67461a38
7	5906.i4a-29c55ed5fbf6.txt	5906.lswap-ebd38bf2c1cd.txt	ab88abce72ba
7	5906.i4a-29c55ed5fbf6.txt	5906.up-56126e7237c3.txt	172c8ba32158
7	5906.i4a-29c55ed5fbf6.txt	5906.up-bd458e7fc19e.txt	51c13efc7a14
7	5906.i4a-50d865ca7907.txt	5906.i4a-b99b1d60f13e.txt	6714c4a96bb4
7	5906.i4a-50d865ca7907.txt	5906.up-890b6674bd25.txt	51c13efc7a14
7	5906.i4a-50d865ca7907.txt	5906.up-d0b9281ca469.txt	dbe526a6a452
7	5906.i4a-66637a3b8941.txt	5906.i4a-7f46c8149026.txt	d0f1e2321709
7	5906.i4a-66637a3b8941.txt	5906.lswap-0d13fc4a8a4a.txt	1174ffd57013
7	5906.i4a-66637a3b8941.txt	5906.lswap-1f8e06e3e616.txt	ab88abce72ba
7	5906.i4a-66637a3b8941.txt	5906.lswap-760f8ed53670.txt	874bbd84a9b5
7	5906.i4a-66637a3b8941.txt	5906.up-1206598d1ff0.txt	51c13efc7a14
7	5906.i4a-66637a3b8941.txt	5906.up-6a142cb8e27d.txt	f1af17db564a
7	5906.i4a-6a77e138ea8e.txt	5906.up-590fe2cb2c21.txt	51c13efc7a14
7	5906.i4a-7f46c8149026.txt	5906.i4a-66637a3b8941.txt	d0f1e2321709
7	5906.i4a-7f46c8149026.txt	5906.lswap-0d13fc4a8a4a.txt	19a9f1318e76
7	5906.i4a-7f46c8149026.txt	5906.lswap-1f8e06e3e616.txt	09857047dc88
7	5906.i4a-7f46c8149026.txt	5906.lswap-760f8ed53670.txt	ab88abce72ba
7	5906.i4a-7f46c8149026.txt	5906.up-1206598d1ff0.txt	cfe46d0a2eed
7	5906.i4a-7f46c8149026.txt	5906.up-6a142cb8e27d.txt	51c13efc7a14
7	5906.i4a-b99b1d60f13e.txt	5906.i4a-50d865ca7907.txt	6714c4a96bb4
7	5906.i4a-b99b1d60f13e.txt	5906.up-890b6674bd25.txt	cbba85d1efba
7	5906.i4a-b99b1d60f13e.txt	5906.up-d0b9281ca469.txt	51c13efc7a14
7	5906.i4a-c1080e26f60c.txt	5906.i4a-29c55ed5fbf6.txt	4ecba60aa35e
7	5906.i4a-c1080e26f60c.txt	5906.lswap-6dc582bac458.txt	ab88abce72ba
7	5906.i4a-c1080e26f60c.txt	5906.lswap-cf8339eb5ca7.txt	28343f6d7386
7	5906.i4a-c1080e26f60c.txt	5906.lswap-ebd38bf2c1cd.txt	ab88abce72ba
7	5906.i4a-c1080e26f60c.txt	5906.up-56126e7237c3.txt	51c13efc7a14
7	5906.i4a-c1080e26f60c.txt	5906.up-bd458e7fc19e.txt	68b839f8740c
7	5906.i4a-e0f3de4ca026.txt	5906.up-df8c9033249e.txt	51c13efc7a14
7	5906.lswap-025c4805fc39.txt	5906.lswap-031568aa1b5c.txt	429db3717944
7	5906.lswap-025c4805fc39.txt	5906.lswap-2497c9291398.txt	847f96324af3
7	5906.lswap-025c4805fc39.txt	5906.lswap-29ee6f7c1197.txt	ab88abce72ba
7	5906.lswap-025c4805fc39.txt	5906.lswap-2ae54d2fd96c.txt	ab88abce72ba
7	5906.lswap-025c4805fc39.txt	5906.lswap-3b66fbdbdf53.txt	5ff76078c599
7	5906.lswap-025c4805fc39.txt	5906.lswap-49fac07a5323.txt	ecad0e65a5d2
7	5906.lswap-025c4805fc39.txt	5906.lswap-52e683fb05d3.txt	e7dc2a75bdd1
7	5906.lswap-025c4805fc39.txt	5906.lswap-5808edca979d.txt	2e62188e3c8b
7	5906.lswap-025c4805fc39.txt	5906.lswap-5dbb54e50268.txt	e1065cfc01db
7	5906.lswap-025c4805fc39.txt	5906.lswap-62d959eb4e73.txt	3a3b52457923
7	5906.lswap-025c4805fc39.txt	5906.lswap-6d0ad177e5ee.txt	e616c3f821ef
7	5906.lswap-025c4805fc39.txt	5906.lswap-7f47c6e6eeda.txt	ab88abce72ba
7	5906.lswap-025c4805fc39.txt	5906.lswap-8ed814577309.txt	d24f63edf5b4
7	5906.lswap-025c4805fc39.txt	5906.lswap-9a5cc6a6e3c8.txt	ab88abce72ba
7	5906.lswap-025c4805fc39.txt	5906.lswap-9f3672f6c430.txt	e1065cfc01db
7	5906.lswap-025c4805fc39.txt	5906.lswap-a7d2db45842b.txt	6e21f7e985fe
7	5906.lswap-025c4805fc39.txt	5906.lswap-af54b6f406a6.txt	d1acfe46465f
7	5906.lswap-025c4805fc39.txt	5906.lswap-df71274e07be.txt	e616c3f821ef
7	5906.lswap-025c4805fc39.txt	5906.lswap-e145b859ca30.txt	cb67e923a6ca
7	5906.lswap-025c4805fc39.txt	5906.lswap-e2d18fca77cb.txt	3feefa303e8d
7	5906.lswap-025c4805fc39.txt	5906.lswap-e73e096376f0.txt	d24f63edf5b4
7	5906.lswap-025c4805fc39.txt	5906.up-0db50fc7743c.txt	ab88abce72ba
7	5906.lswap-025c4805fc39.txt	5906.up-16ca46d2c5a9.txt	45e1abda4c12
7	5906.lswap-025c4805fc39.txt	5906.up-331e3f0f91ee.txt	36706f4e334b
7	5906.lswap-025c4805fc39.txt	5906.up-53b55626d912.txt	ab88abce72ba
7	5906.lswap-031568aa1b5c.txt	5906.lswap-025c4805fc39.txt	62a74ce65faa
7	5906.lswap-031568aa1b5c.txt	5906.lswap-2497c9291398.txt	ab88abce72ba
7	5906.lswap-031568aa1b5c.txt	5906.lswap-2ae54d2fd96c.txt	156e559f9324
7	5906.lswap-031568aa1b5c.txt	5906.lswap-52e683fb05d3.txt	d24f63edf5b4
7	5906.lswap-031568aa1b5c.txt	5906.lswap-5808edca979d.txt	5aceefba3b64
7	5906.lswap-031568aa1b5c.txt	5906.lswap-5dbb54e50268.txt	d1acfe46465f
7	5906.lswap-031568aa1b5c.txt	5906.lswap-62d959eb4e73.txt	5ff76078c599
7	5906.lswap-031568aa1b5c.txt	5906.lswap-7f47c6e6eeda.txt	ab88abce72ba
7	5906.lswap-031568aa1b5c.txt	5906.lswap-8ed814577309.txt	90ec4efba5a6
7	5906.lswap-031568aa1b5c.txt	5906.lswap-9a5cc6a6e3c8.txt	396fe6d979c3
7	5906.lswap-031568aa1b5c.txt	5906.lswap-a7d2db45842b.txt	ab88abce72ba
7	5906.lswap-031568aa1b5c.txt	5906.lswap-df71274e07be.txt	cb67e923a6ca
7	5906.lswap-031568aa1b5c.txt	5906.up-0db50fc7743c.txt	ab88abce72ba
7	5906.lswap-031568aa1b5c.txt	5906.up-16ca46d2c5a9.txt	ab88abce72ba
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-09c105553d61.txt	c957d4264558
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-10f62906b166.txt	60748cf01c32
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-23548cda0ace.txt	ab88abce72ba
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-28b97fbb68d1.txt	af8282bcbcba
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-3a55a72f70d6.txt	65e6ee3248d6
7	5906.lswap-06f4ba2c8122.txt	5906.lswap-67fc5c2184ab.txt	65d9c5d02da1
